date,Snow,Reservoirs,ANT,BLB,BRD,BUC,BUL,CAS,CCH,CHV,CLE,CMN,COY,DAV,DNN,DNP,DON,ENG,EXC,FOL,FRD,HID,HTH,ICH,INP,INV,ISB,KES,LEW,LON,MIL,NAT,NHG,NML,ORO,PAR,PNF,PRR,PYM,SCC,SHA,SNL,STP,TRM,TUL,UNV,WHI,WRS
11/20/03,740222.3154,"15,060,199",15766,32334,73784,17149,592648,,,213140,1709715,283300,56304,47207,3499,1449055,22611,63868,386670,521709,25525,9622,237379,29506,14911,147772,149275,21386,14307,34787,216206,8271,99869,1271850,2101264,168670,164304,,,5553,3099442,1104992,,8380,56311,171467,206566,203825
11/21/03,708321.5695,"15,056,591",15728,32353,73533,17142,591891,,,212489,1709846,283300,56367,47190,3476,1450056,22726,63808,385981,519753,25515,9626,237210,29467,14823,147744,149220,21635,14105,34506,216117,8214,99780,1272521,2100717,168400,165190,,,5614,3098049,1107890,,8524,55780,171467,205270,203568
11/22/03,696301.9386,"15,045,926",15683,32334,73283,17136,591139,,,212000,1709061,283050,56351,47175,3437,1450056,22829,63641,385238,518137,25505,9631,237041,29434,14789,147660,149220,21793,14061,34433,216294,8115,99691,1272521,2102360,168160,165965,,,5675,3096431,1102614,,8658,55867,171383,204739,203336
11/23/03,683666.9765,"15,047,034",15653,32371,73027,17123,589987,,,212000,1707884,282800,56351,47085,3414,1450056,22935,63755,384556,515714,25495,9635,237041,29351,14721,147632,149165,21338,14195,34339,216235,8064,99558,1273277,2101594,168020,167016,,,5730,3094353,1113173,,8780,55303,170813,204415,203080
11/24/03,923393.9999,"15,030,087",15616,32390,72784,17120,589049,,,211838,1706445,282800,56351,46995,3390,1448055,23034,63792,384250,513694,25476,9640,236872,29181,14647,147660,149000,21104,13734,34018,216147,8186,99469,1273361,2096560,168040,168116,,,5793,3093198,1110168,,8900,55476,170181,204710,202847
11/25/03,914930.1562,"15,018,537",15586,32408,72547,17116,587936,,,211187,1704613,282800,56351,46903,3367,1448055,23137,63815,383808,512159,25466,9644,236872,29148,14606,147632,148835,21008,13911,33946,216088,8261,99380,1274033,2092190,167800,169151,,,5841,3092044,1110064,,9025,54983,169048,205181,202592
11/26/03,880377.5681,"15,006,856",15549,32408,72292,17110,586964,,,210373,1702389,282807,56351,46870,3344,1448055,23237,63876,383297,509914,25466,9648,236703,29120,14546,147604,148945,20931,14180,33904,216058,8223,99291,1274704,2088372,167700,169843,,,5894,3091351,1109961,,9137,54460,168025,205594,202360
11/27/03,848857.0467,"15,004,535",15519,32427,72030,17104,585958,,,209885,1700558,282560,56351,46835,3336,1449055,23337,63785,382823,507593,25456,9653,236703,29076,14526,147576,149055,21356,14203,33863,216501,8191,99202,1275376,2084559,167720,170213,,,5947,3091351,1115662,,9247,53984,168025,205829,202105
11/28/03,806203.8143,"14,992,764",15474,32446,71801,17097,585264,,,209559,1699250,282560,56320,46800,3305,1448055,23450,63648,382416,505192,25466,9666,236534,29060,14445,147716,149000,21253,14195,33842,216973,8012,99113,1274201,2082273,167680,170467,,,6004,3089965,1113691,,9361,55531,167754,206006,201919
11/29/03,730741.0268,"14,989,164",15444,32595,71534,17094,584258,,,209071,1699381,282560,56429,46768,3297,1449055,23563,63618,381942,502086,25476,9675,236534,29016,14391,147828,149000,21890,14203,33780,217563,8012,99002,1274872,2083252,167620,170490,,,6065,3090427,1111307,,9473,55058,167359,206419,201757
