04/14/2015,Reservoircapacityupdatedfrom77,600to97,800frominformationfoundathttp://ce-npdp-serv2.stanford.edu/DamDirectory/DamDetail.jsp?npdp_id=CA00263,
Date,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,PPTINC , ,,
 ,AF, ,AF, ,CFS, ,INCHES, ,
06/24/2004,89485,,548,,204,,0.00,,
06/25/2004,90055,,570,,147,,0.00,,
06/26/2004,90529,,474,,147,,0.00,,
06/27/2004,90927,,398,,145,,0.00,,
06/28/2004,91403,,476,,149,,0.00,,
06/29/2004,91873,,470,,150,,0.00,,
06/30/2004,92063,,190,,149,,0.02,,
07/01/2004,92548,,485,,149,,0.00,,
07/02/2004,93274,,726,,150,,0.00,,
07/03/2004,93947,,673,,151,,0.00,,
07/04/2004,94627,,680,,151,,0.00,,
07/05/2004,95025,,398,,276,,0.00,,
07/06/2004,95267,,242,,369,,0.00,,
07/07/2004,95053,,-214,,502,,0.00,,
07/08/2004,94542,,-511,,624,,0.00,,
07/09/2004,93861,,-681,,573,,0.00,,
07/10/2004,93642,,-219,,150,,0.00,,
07/11/2004,93918,,276,,151,,0.00,,
07/12/2004,94443,,525,,143,,0.00,,
07/13/2004,94697,,254,,142,,0.00,,
07/14/2004,94968,,271,,143,,0.00,,
07/15/2004,95032,,64,,269,,0.00,,
07/16/2004,94535,,-497,,552,,0.00,,
07/17/2004,93897,,-638,,554,,0.00,,
07/18/2004,93395,,-502,,553,,0.00,,
07/19/2004,92844,,-551,,563,,0.00,,
07/20/2004,92422,,-422,,520,,0.00,,
07/21/2004,92154,,-268,,491,,0.00,,
07/22/2004,91803,,-351,,551,,0.00,,
07/23/2004,91291,,-512,,550,,0.00,,
07/24/2004,90626,,-665,,552,,0.00,,
07/25/2004,90145,,-481,,552,,0.00,,
07/26/2004,89860,,-285,,552,,0.00,,
07/27/2004,89561,,-299,,551,,0.00,,
07/28/2004,89228,,-333,,553,,0.00,,
07/29/2004,88659,,-569,,553,,0.00,,
07/30/2004,88044,,-615,,554,,0.00,,
07/31/2004,87486,,-558,,553,,0.00,,
08/01/2004,86738,,-748,,552,,0.00,,
08/02/2004,86053,,-685,,553,,0.00,,
08/03/2004,85330,,-723,,559,,0.00,,
08/04/2004,84813,,-517,,559,,0.00,,
08/05/2004,84243,,-570,,612,,0.00,,
08/06/2004,83654,,-589,,561,,0.00,,
08/07/2004,83195,,-459,,560,,0.00,,
08/08/2004,82636,,-559,,561,,0.00,,
08/09/2004,82340,,-296,,562,,0.00,,
08/10/2004,82018,,-322,,562,,0.00,,
08/11/2004,81756,,-262,,559,,0.00,,
08/12/2004,81355,,-401,,564,,0.00,,
08/13/2004,80635,,-720,,564,,0.00,,
08/14/2004,79824,,-811,,564,,0.00,,
08/15/2004,78964,,-860,,565,,0.00,,
08/16/2004,78522,,-442,,562,,0.00,,
08/17/2004,78127,,-395,,565,,0.00,,
08/18/2004,77647,,-480,,560,,0.00,,
08/19/2004,77182,,-465,,559,,0.00,,
08/20/2004,76790,,-392,,556,,0.00,,
08/21/2004,76171,,-619,,557,,0.00,,
08/22/2004,75196,,-975,,555,,0.00,,
08/23/2004,74466,,-730,,554,,0.00,,
08/24/2004,73912,,-554,,555,,0.00,,
08/25/2004,73585,,-327,,555,,0.00,,
08/26/2004,73161,,-424,,554,,0.00,,
08/27/2004,72643,,-518,,555,,0.00,,
08/28/2004,72305,,-338,,554,,0.00,,
08/29/2004,71916,,-389,,554,,0.00,,
08/30/2004,71579,,-337,,553,,0.00,,
08/31/2004,71192,,-387,,552,,0.00,,
09/01/2004,70957,,-235,,525,,0.00,,
09/02/2004,70469,,-488,,532,,0.00,,
09/03/2004,69763,,-706,,530,,0.00,,
09/04/2004,69209,,-554,,530,,0.00,,
09/05/2004,68783,,-426,,529,,0.00,,
09/06/2004,68364,,-419,,527,,0.00,,
09/07/2004,67884,,-480,,538,,0.00,,
09/08/2004,67430,,-454,,550,,0.00,,
09/09/2004,66927,,-503,,547,,0.00,,
09/10/2004,66295,,-632,,539,,0.00,,
09/11/2004,65796,,-499,,531,,0.00,,
09/12/2004,65377,,-419,,529,,0.00,,
09/13/2004,64856,,-521,,530,,0.00,,
09/14/2004,64727,,-129,,358,,0.00,,
09/15/2004,64109,,-618,,540,,0.00,,
09/16/2004,63530,,-579,,532,,0.00,,
09/17/2004,62942,,-588,,524,,0.00,,
09/18/2004,62125,,-817,,533,,0.00,,
09/19/2004,61163,,-962,,530,,0.00,,
09/20/2004,60193,,-970,,523,,0.19,,
09/21/2004,59705,,-488,,520,,0.00,,
09/22/2004,58903,,-802,,519,,0.00,,
09/23/2004,58395,,-508,,525,,0.00,,
09/24/2004,57840,,-555,,519,,0.00,,
09/25/2004,57089,,-751,,527,,0.00,,
09/26/2004,56580,,-509,,526,,0.00,,
09/27/2004,56085,,-495,,526,,0.00,,
09/28/2004,55331,,-754,,520,,0.00,,
09/29/2004,54672,,-659,,520,,0.00,,
