05/29/2015,ThereservoircapacitywasupdatedMay2015withinformationfromtheUSBR,
Date,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,
 ,AF, ,AF, ,CFS, ,
03/24/2005,7495,,-89,,402,,
03/25/2005,7120,,-375,,517,,
03/26/2005,7265,,145,,254,,
03/27/2005,7406,,141,,314,,
03/28/2005,7330,,-76,,511,,
03/29/2005,6932,,-398,,607,,
03/30/2005,6409,,-523,,612,,
03/31/2005,6026,,-383,,543,,
04/01/2005,5703,,-323,,560,,
04/02/2005,5823,,120,,345,,
04/03/2005,6214,,391,,295,,
04/04/2005,6155,,-59,,414,,
04/05/2005,6120,,-35,,414,,
04/06/2005,6454,,334,,418,,
04/07/2005,7011,,557,,441,,
04/08/2005,6854,,-157,,661,,
04/09/2005,6725,,-129,,539,,
04/10/2005,6725,,0,,496,,
04/11/2005,6650,,-75,,499,,
04/12/2005,6734,,84,,498,,
04/13/2005,6871,,137,,604,,
04/14/2005,6784,,-87,,603,,
04/15/2005,6699,,-85,,656,,
04/16/2005,7105,,406,,602,,
04/17/2005,7755,,650,,655,,
04/18/2005,8406,,651,,686,,
04/19/2005,8711,,305,,718,,
04/20/2005,8731,,20,,715,,
04/21/2005,8625,,-106,,722,,
04/22/2005,8762,,137,,723,,
04/23/2005,8944,,182,,723,,
04/24/2005,9287,,343,,625,,
04/25/2005,9315,,28,,720,,
04/26/2005,9667,,352,,721,,
04/27/2005,10301,,634,,721,,
04/28/2005,10805,,504,,687,,
04/29/2005,11158,,353,,732,,
04/30/2005,11951,,793,,740,,
05/01/2005,13155,,1204,,740,,
05/02/2005,13926,,771,,737,,
05/03/2005,15072,,1146,,736,,
05/04/2005,16410,,1338,,735,,
05/05/2005,18207,,1797,,733,,
05/06/2005,19641,,1434,,712,,
05/07/2005,20581,,940,,719,,
05/08/2005,21794,,1213,,724,,
05/09/2005,24498,,2704,,749,,
05/10/2005,25492,,994,,773,,
05/11/2005,26195,,703,,771,,
05/12/2005,27038,,843,,765,,
05/13/2005,28450,,1412,,762,,
05/14/2005,30626,,2176,,759,,
05/15/2005,33557,,2931,,745,,
05/16/2005,43366,,9809,,739,,
05/17/2005,47635,,--,,725,,
05/18/2005,52726,,5091,,719,,
05/19/2005,58666,,5940,,719,,
05/20/2005,62288,,3622,,2565,,
05/21/2005,61580,,-708,,4186,,
05/22/2005,61514,,-66,,3749,,
05/23/2005,61672,,158,,3737,,
05/24/2005,61605,,-67,,3755,,
05/25/2005,61921,,316,,3238,,
05/26/2005,62455,,534,,3954,,
05/27/2005,62534,,79,,4284,,
05/28/2005,62212,,-322,,4299,,
05/29/2005,61082,,-1130,,3979,,
