Date,RESELE , ,,STORAGE , ,,RESCHG , ,,
 ,FEET, ,AF, ,AF, ,
12/25/2004,475.12,,1231543,,11870,,
12/26/2004,475.74,,1238188,,6645,,
12/27/2004,476.24,,1243580,,5392,,
12/28/2004,476.89,,1250577,,6997,,
12/29/2004,477.81,,1260502,,9925,,
12/30/2004,478.61,,1269154,,8652,,
12/31/2004,479.90,,1283146,,13992,,
01/01/2005,481.87,,1304612,,21466,,
01/02/2005,483.78,,1325537,,20925,,
01/03/2005,484.81,,1336868,,11331,,
01/04/2005,486.18,,1351988,,15120,,
01/05/2005,487.74,,1369275,,17287,,
01/06/2005,489.38,,1387528,,18253,,
01/07/2005,491.23,,1408215,,20687,,
01/08/2005,493.05,,1428668,,20453,,
01/09/2005,494.85,,1448993,,20325,,
01/10/2005,496.51,,1467824,,18831,,
01/11/2005,498.33,,1488564,,20740,,
01/12/2005,500.01,,1507796,,19232,,
01/13/2005,501.69,,1527111,,19315,,
01/14/2005,503.35,,1546280,,19169,,
01/15/2005,504.95,,1564832,,18552,,
01/16/2005,506.59,,1583926,,19094,,
01/17/2005,508.17,,1602397,,18471,,
01/18/2005,509.74,,1620823,,18426,,
01/19/2005,511.30,,1639203,,18380,,
01/20/2005,512.81,,1657061,,17858,,
01/21/2005,514.30,,1674749,,17688,,
01/22/2005,515.75,,1692023,,17274,,
01/23/2005,517.17,,1708999,,16976,,
01/24/2005,518.26,,1722069,,13070,,
01/25/2005,519.33,,1734933,,12864,,
01/26/2005,520.27,,1746261,,11328,,
01/27/2005,521.35,,1759308,,13047,,
01/28/2005,522.35,,1771418,,12110,,
01/29/2005,523.36,,1783678,,12260,,
01/30/2005,524.59,,1798649,,14971,,
01/31/2005,525.56,,1810485,,11836,,
02/01/2005,526.19,,1818187,,7702,,
02/02/2005,526.24,,1818799,,612,,
02/03/2005,525.85,,1814029,,-4770,,
02/04/2005,525.81,,1813540,,-489,,
02/05/2005,525.78,,1813173,,-367,,
02/06/2005,526.10,,1817086,,3913,,
02/07/2005,526.59,,1823083,,5997,,
02/08/2005,527.36,,1832521,,9438,,
02/09/2005,527.84,,1838412,,5891,,
02/10/2005,528.48,,1846278,,7866,,
02/11/2005,528.72,,1849231,,2953,,
02/12/2005,528.87,,1851077,,1846,,
02/13/2005,529.56,,1859578,,8501,,
02/14/2005,529.78,,1862291,,2713,,
02/15/2005,530.15,,1866858,,4567,,
02/16/2005,530.40,,1869945,,3087,,
02/17/2005,530.60,,1872417,,2472,,
02/18/2005,531.11,,1878724,,6307,,
02/19/2005,532.21,,1892352,,13628,,
02/20/2005,533.15,,1904025,,11673,,
02/21/2005,533.89,,1913232,,9207,,
02/22/2005,534.69,,1923203,,9971,,
02/23/2005,535.64,,1935067,,11864,,
02/24/2005,536.06,,1940320,,5253,,
