05/18/2015,ThecapacitywasrevisedinApril2015usingdatafromthe
SacramentoMunicipalUtilityDistrict,
Date,RESELE , ,,STORAGE , ,,RESCHG , ,,
 ,FEET, ,AF, ,AF, ,
10/02/2004,4823.03,,160506,,-706,,
10/03/2004,4822.99,,160426,,-80,,
10/04/2004,4822.70,,159843,,-583,,
10/05/2004,4822.28,,159000,,-843,,
10/06/2004,4822.13,,158701,,-299,,
10/07/2004,4821.85,,158143,,-558,,
10/08/2004,4821.46,,157367,,-776,,
10/09/2004,4821.22,,156911,,-456,,
10/10/2004,4820.87,,156199,,-712,,
10/11/2004,4820.34,,155155,,-1044,,
10/12/2004,4820.34,,155155,,0,,
10/13/2004,4820.31,,155097,,-58,,
10/14/2004,4819.97,,154431,,-666,,
10/15/2004,4819.78,,154058,,-373,,
10/16/2004,4819.57,,153648,,-410,,
10/17/2004,4819.60,,153726,,78,,
10/18/2004,4819.14,,152812,,-914,,
10/19/2004,4819.12,,152773,,-39,,
10/20/2004,4818.92,,152385,,-388,,
10/21/2004,4818.38,,151341,,-1044,,
10/22/2004,4817.99,,150591,,-750,,
10/23/2004,4817.60,,149843,,-748,,
10/24/2004,4817.14,,148965,,-878,,
10/25/2004,4816.78,,148279,,-686,,
10/26/2004,4816.60,,147957,,-322,,
10/27/2004,4816.18,,147162,,-795,,
10/28/2004,4815.60,,146070,,-1092,,
10/29/2004,4815.20,,145302,,-768,,
10/30/2004,4814.82,,144592,,-710,,
10/31/2004,4814.37,,143756,,-836,,
11/01/2004,4813.93,,142959,,-797,,
11/02/2004,4813.92,,142922,,-37,,
11/03/2004,4814.54,,144071,,1149,,
11/04/2004,4815.04,,145003,,932,,
11/05/2004,4815.27,,145433,,430,,
11/06/2004,4815.52,,145901,,468,,
11/07/2004,4815.77,,146371,,470,,
11/08/2004,4815.99,,146785,,414,,
11/09/2004,4816.20,,147182,,397,,
11/10/2004,4816.43,,147616,,434,,
11/11/2004,4816.84,,148393,,777,,
11/12/2004,4817.14,,148965,,572,,
11/13/2004,4817.43,,149537,,572,,
11/14/2004,4817.66,,149958,,421,,
11/15/2004,4817.93,,150495,,537,,
11/16/2004,4818.16,,150918,,423,,
11/17/2004,4818.34,,151264,,346,,
11/18/2004,4818.58,,151727,,463,,
11/19/2004,4818.82,,152191,,464,,
11/20/2004,4819.08,,152696,,505,,
11/21/2004,4819.35,,153220,,524,,
11/22/2004,4819.59,,153687,,467,,
11/23/2004,4819.74,,153981,,294,,
11/24/2004,4819.95,,154391,,410,,
11/25/2004,4820.17,,154822,,431,,
11/26/2004,4820.32,,155116,,294,,
11/27/2004,4820.68,,155844,,728,,
11/28/2004,4820.92,,156298,,454,,
11/29/2004,4821.18,,156812,,514,,
11/30/2004,4821.46,,157367,,555,,
12/01/2004,4821.68,,157824,,457,,
